Gigajoule per capita,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978
,,,,,,,,,,,,,,
Canada,250.9,262.3,269.6,282.3,294.2,309.9,314.5,332.9,356,361.6,351.6,363.4,379.9,382.5
Mexico,23.8,24.4,24.1,25.5,27.1,28.1,28.6,30.7,32.2,34.4,35.8,37.1,38.1,41.8
US,259.5,271.1,277.7,291.6,303.9,311.9,315.6,328.4,339.2,327.9,316.3,330.6,336.1,340.2
Total North America,219.4,228.5,233.2,244,253.6,260,262.3,272.6,281.7,273.3,263.6,274.3,278.9,282
,,,,,,,,,,,,,,
Argentina,53.3,54.2,55,56,57,53.2,55.6,55.4,56.9,58.2,55.9,57.8,59.4,58.6
Brazil,11.6,12.3,12.4,13.9,14.7,16.7,17.8,20,23.3,24.9,25.6,27.5,28.7,30.9
Chile,29,30.5,30.6,30,31.8,33,35.1,35.6,33.7,32.8,29.1,30.2,30.8,32.1
Colombia,17,18,18.6,19,18.9,20.1,19.2,21.1,20.6,22.6,22.6,23,23,24.1
Ecuador,5.9,6,6.3,7.3,7.5,8.7,9.3,9.5,9.8,11.2,11,11.8,13.6,13.9
Peru,17.2,20.4,20.2,20,19.6,19.6,20,17.4,19.4,21.9,22,21.7,21.3,20.7
Trinidad & Tobago,132.8,140.1,148.4,152.1,155.7,170.1,170,231.4,226.3,214.8,170.6,189.2,194.1,192.8
Venezuela,71,69.3,70.7,73.8,72.3,70.7,69.6,71.5,79.5,79.8,80.6,85.6,92.7,92.1
Central America,11.8,11.6,12,11.9,12.4,12.6,12.8,13.6,13.8,13.9,14.8,15,14.8,15.1
Other Caribbean,35.8,36.3,37.1,37.2,37.5,42.1,42.8,44.9,47.5,46.5,44.4,44.6,46.1,46.6
Other South America,11.3,12.7,13.2,13.4,14.2,14.6,15.8,17.3,17.6,16.1,17.4,17.4,18.1,20.1
Total S. & Cent. America,23.3,24,24.4,25.2,25.7,26.8,27.6,29.1,31.3,32.1,31.9,33.2,34.4,35.5
